,text
1,RT @Auxyan: @JoeBiden Like the other Communist Dictators of the World! We Venezuelans know that very well. The communist nightmare begins l…
2,@JoeBiden Like the other Communist Dictators of the World! We Venezuelans know that very well. The communist nightm… https://t.co/BcfPAn2oIe
3,@JoeBiden How about a statement of Hunter's corrupt Ukraine and Chinese deals
4,@JoeBiden https://t.co/pwuhRa1Bv8
5,@JoeBiden https://t.co/KnpHIfa2xr
6,@JoeBiden Had no idea the 3 strikes rule was to help black Americans gain wealth. Thought it was to break up the black family.
7,@JoeBiden @JoeBiden so awesome
8,@JoeBiden Vote Joe
9,@JoeBiden @KamalaHarris smoken CRACK… like Hunter Biden.   Lets all ride that purple unicorn…. I mean why not.
10,@JoeBiden Nice pandering big guy! You are going to forget them after the election like all dems do with minorities.
11,@JoeBiden Vote Joe
12,@JoeBiden BIDEN 2020
13,RT @BalancedTake: @JoeBiden @funkygy123 I had never voted in a US election until this year...I turned 18 in early 2012. I believed US polit…
14,"@JoeBiden dropped mine, as well as the other elligble voter's in the house at our nearest drop off box👍"
15,@JoeBiden Lair
16,@JoeBiden be on guard ✌🏽 https://t.co/sNLJ1MCxto
17,"@JoeBiden @ABC He's not qualified to be #POTUS IQ? Emotional intelligence? NOT ""articulate""! #HunterBiden WHITE PRI… https://t.co/9VRxYC7qOe"
18,@JoeBiden Feeykke nuze
19,@JoeBiden How come my people did not get reparations when you and Obama were in office? And during the primaries th… https://t.co/bj9DzOeLaz
20,RT @grandmagrit: @JoeBiden I already voted for Biden. How about you?
21,RT @GIFNT: @JoeBiden is done. #JoeBidenMustStepDown and should be in an interview room right now. #CorruptJoeBiden #BidenCrimeFamiily is ex…
22,"@JoeBiden Joey, your handlers are sending all these tweets out like you understand transgender people!!!"
23,@JoeBiden https://t.co/lddAUTb5v7
24,"RT @TrumpWarRoom: @JoeBiden Joe Biden had a favorite word for young Black men: ""predators"" https://t.co/FXPCtViAT2"
25,@JoeBiden Got your back Joe! We’ll be dropping our votes off for you and Kamala this weekend.
26,@JoeBiden Tell us about how you got rich old man? It's all on Hunter's laptop!!!
27,"@JoeBiden #For2020 JoeBiden President,Kamala Harris Vice   I feel the wrath of God through the covid19 situation.… https://t.co/JFNdYXCPf4"
28,"@JoeBiden Last night, during a townhall on ABC, Joe Biden endorsed gender transition for eight-year-old children... This is unbelievable."
29,@JoeBiden @PhordTX Yes yes I already voted joe did u
30,"RT @margueritebloem: @JoeBiden you will be a beautiful president, joe biden. to put this kind of bold agenda out there. i live in a very li…"
31,@JoeBiden @steven_l_cox LOL ooooooooKkkkk
32,@JoeBiden Did you talk about the millions you received from the Chinese Government?  You’re as corrupt as Obama and… https://t.co/bs7LP83OBx
33,@JoeBiden Laws? Can you be more specific? https://t.co/FhdSiqa7f5
34,"@JoeBiden Yup, Trump is responsible for the recession and lockdowns in most of Europe, India, Australia... what a full blown moron."
35,"@JoeBiden you will be a beautiful president, joe biden. to put this kind of bold agenda out there. i live in a very… https://t.co/TawufxMUNF"
36,@JoeBiden https://t.co/kyf0Jeh2Jq
37,@JoeBiden your son had a CRACK PIPE in his mouth…. Like in only 2020 is this the norm
38,@JoeBiden https://t.co/cEfSXJ86uK
