,text
1,RT @itsJeffTiedrich: @realDonaldTrump imagine a Republican incumbent having to waste time and resources in deeply-red Georgia two weeks bef…
2,@realDonaldTrump https://t.co/qsPFJUGc6d
3,@realDonaldTrump What the hell are you talking about sir?
4,"@realDonaldTrump @cspan Joe Biden’s town hall-style forum on Thursday night had 15.1 million viewers, while Preside… https://t.co/i1ztLfGHcB"
5,"@realDonaldTrump only follows 50 people on Twitter and they are all of the same mindset or his staff, with very lit… https://t.co/I7rnQHimWz"
6,@realDonaldTrump Is running out of Rednecks.  That’s the tweet.  #AdiosMF
7,@realDonaldTrump You have packing to do!!!! Cannot wait until you are out!!!
8,@realDonaldTrump @POTUS 45 lies again! 45 &amp; his sorry ass Republican supporters in their seats they hold give 2 shi… https://t.co/fiEve2joxM
9,RT @officialjtw: @realDonaldTrump first vote ever since becoming a US citizen in 2017. I will be voting for TRUMP!
10,@realDonaldTrump https://t.co/Vf7IAllarV
11,@realDonaldTrump Vote for the better man: vote for Joe Biden #VoteBidenHarris #VoteBidenHarris #VoteThemAllOut… https://t.co/Jt9aEEBy0D
12,RT @DanielleCandela: @realDonaldTrump @TheBabylonBee I really don't care about Hillary's emails or Hunter's laptop or SQUIRREL! they want t…
13,"RT @Cleavon_MD: @realDonaldTrump 24 y.o. Davon Hill died from #COVID in #Florida. His father, a state-trooper was a nonbeliever until he go…"
14,@realDonaldTrump #DodgyDonald  Covid-19 super spreader
15,RT @prayerfeathers: @realDonaldTrump We understand that you will be looking for property in Russia. Here are some nice listings to get you…
16,"@realDonaldTrump  Go to Russia! Unfortunately, you're lying again! https://t.co/2fCgDLwYcG"
17,@realDonaldTrump Time to flush the Turd!!! Bye-Bye Donny! 👋 https://t.co/3UoiD60XVC
18,@realDonaldTrump ✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️�
19,@realDonaldTrump @SenatorCollins None of that made any sense... as usual.
20,@realDonaldTrump trash president
21,@realDonaldTrump In your dreams
22,@realDonaldTrump @NBCNews Trump fantasyland.
23,@realDonaldTrump #Prayforgence
24,RT @itsJeffTiedrich: @realDonaldTrump imagine a Republican incumbent having to waste time and resources in deeply-red Georgia two weeks bef…
25,@realDonaldTrump https://t.co/x1F80Jf7Ch
26,RT @itsJeffTiedrich: @realDonaldTrump imagine a Republican incumbent having to waste time and resources in deeply-red Georgia two weeks bef…
27,"RT @judgeyourself99: @realDonaldTrump #BlameTrump  20,000 plus lies  Highest Coronavirus cases worldwide  220,000 dead from #COVID19  Still…"
28,@realDonaldTrump https://t.co/mcMcGWh0O7
29,@realDonaldTrump Just finished watching PETE SOUZA'S tribute to what a REAL PRESIDENT looks like. OBAMA was truly a… https://t.co/iUFG9re0YR
30,@realDonaldTrump Trump doing his best to spread COVID-19 to the ignorant...
31,"@realDonaldTrump @cspan Takes one to know one, lier."
32,"@realDonaldTrump Why not stay there.   Btw, soap &amp; towels are inventoried.  So don’t steal them.   The WH will need… https://t.co/DFiSxmQUff"
33,"@realDonaldTrump @TheBabylonBee You mean this bad news for YOU, you clown: https://t.co/mbC817xzfu"
34,@realDonaldTrump @GStephanopoulos Idiot trump
35,"@realDonaldTrump I don't actually HATE the president, I don't hate anybody. I just thought this would be funny, so… https://t.co/tN8r33fhLK"
36,@realDonaldTrump Was Rick Gaetz there?
37,@realDonaldTrump https://t.co/GAaGEFWpzz
38,"@realDonaldTrump  Libera os vôos aí, namoralzinha! Deixa eu ir logo, já está tdo abrindo normalmente 🙏🏼😔"
39,@realDonaldTrump 🙂
